idx,batch_idx,sample_idx,step,rmse,nmse
11,1,3,6,0.04917527362704277,0.0005459969397634268
11,1,3,7,0.05284002423286438,0.0006305839051492512
11,1,3,8,0.05631951987743378,0.0007165276911109686
11,1,3,9,0.05979735031723976,0.0008079007384367287
11,1,3,10,0.06331505626440048,0.0009058832656592131
11,1,3,11,0.06694632768630981,0.0010128917638212442
11,1,3,12,0.07078894972801208,0.001132607227191329
11,1,3,13,0.0748736709356308,0.0012671618023887277
11,1,3,14,0.07920943200588226,0.001418207073584199
11,1,3,15,0.083729587495327,0.0015846893656998873
11,1,3,16,0.08834381401538849,0.0017641355516389012
11,1,3,17,0.09295567125082016,0.0019531012512743473
11,1,3,18,0.097494937479496,0.002148512052372098
11,1,3,19,0.10194485634565353,0.0023491925094276667
11,1,3,20,0.10633719712495804,0.0025561745278537273
11,1,3,21,0.11074844747781754,0.0027729703579097986
11,1,3,22,0.11525892466306686,0.003003886202350259
11,1,3,23,0.11991991102695465,0.003252296010032296
11,1,3,24,0.12475831806659698,0.003520640544593334
12,1,4,0,0.020188653841614723,9.220810170518234e-05
12,1,4,1,0.02331930585205555,0.00012304095434956253
12,1,4,2,0.03127730265259743,0.0002213760744780302
12,1,4,3,0.03737662732601166,0.00031616466003470123
12,1,4,4,0.04276546463370323,0.0004139288212172687
12,1,4,5,0.04805575683712959,0.0005226837238296866
12,1,4,6,0.05274583026766777,0.000629669870249927
12,1,4,7,0.05743704363703728,0.0007465946255251765
12,1,4,8,0.06184525415301323,0.0008654629928059876
12,1,4,9,0.06618109345436096,0.0009908440988510847
12,1,4,10,0.07036380469799042,0.0011196979321539402
12,1,4,11,0.07439062744379044,0.0012510149972513318
12,1,4,12,0.07821600139141083,0.0013822807231917977
12,1,4,13,0.08183281123638153,0.001512137707322836
12,1,4,14,0.08531693369150162,0.0016424460336565971
12,1,4,15,0.08875005692243576,0.0017758202739059925
12,1,4,16,0.09222093969583511,0.0019157060887664557
12,1,4,17,0.09578242897987366,0.0020645777694880962
12,1,4,18,0.0994640663266182,0.0022242392878979445
12,1,4,19,0.10327927768230438,0.0023959765676409006
12,1,4,20,0.10727822780609131,0.00258296774700284
12,1,4,21,0.11155259609222412,0.0027908652555197477
12,1,4,22,0.1161617785692215,0.003024415811523795
12,1,4,23,0.12106691300868988,0.003283643862232566
12,1,4,24,0.12614403665065765,0.0035635395906865597
13,1,5,0,0.019707106053829193,8.69529030751437e-05
13,1,5,1,0.023231128230690956,0.00012081176100764424
13,1,5,2,0.030464818701148033,0.0002077439712593332
13,1,5,3,0.036187972873449326,0.0002931207709480077
13,1,5,4,0.04072462022304535,0.00037122349021956325
13,1,5,5,0.045148421078920364,0.0004562662506941706
13,1,5,6,0.04872208088636398,0.0005313717410899699
13,1,5,7,0.0522347092628479,0.0006107662338763475
13,1,5,8,0.05549612268805504,0.0006894202088005841
13,1,5,9,0.05881152302026749,0.0007742387824691832
13,1,5,10,0.0621640682220459,0.0008649827796034515
13,1,5,11,0.06556175649166107,0.0009620438795536757
13,1,5,12,0.0690329372882843,0.00106649415101856
13,1,5,13,0.07259565591812134,0.0011792589211836457
13,1,5,14,0.07631094008684158,0.0013028614921495318
13,1,5,15,0.08016850799322128,0.001437700935639441
13,1,5,16,0.08411788940429688,0.0015826220624148846
13,1,5,17,0.08804520219564438,0.0017336265882477164
13,1,5,18,0.09185004979372025,0.0018864731537178159
13,1,5,19,0.0954945832490921,0.002038920298218727
13,1,5,20,0.09900268912315369,0.0021912429947406054
13,1,5,21,0.10243827104568481,0.002345725893974304
13,1,5,22,0.1058829128742218,0.0025058973114937544
13,1,5,23,0.10939977318048477,0.0026748846285045147
13,1,5,24,0.11302542686462402,0.0028548745904117823
14,1,6,0,0.021450849249958992,0.00010282255971105769
14,1,6,1,0.02252255193889141,0.00011334516602801159
14,1,6,2,0.029343530535697937,0.000192383406101726
14,1,6,3,0.034831877797842026,0.0002710703993216157
14,1,6,4,0.039285626262426376,0.0003448219795245677
14,1,6,5,0.04396689683198929,0.00043191120494157076
14,1,6,6,0.04798446223139763,0.0005144869792275131
14,1,6,7,0.052141692489385605,0.0006075546843931079
14,1,6,8,0.05615311861038208,0.0007047124090604484
14,1,6,9,0.060209084302186966,0.0008102885913103819
14,1,6,10,0.06432123482227325,0.0009248578571714461
14,1,6,11,0.06849967688322067,0.001049039768986404
14,1,6,12,0.07278139144182205,0.0011844143737107515
14,1,6,13,0.07712837308645248,0.001330278697423637
14,1,6,14,0.08154048770666122,0.0014870301820337772
14,1,6,15,0.08598840981721878,0.001653951359912753
14,1,6,16,0.09045714884996414,0.0018306700512766838
14,1,6,17,0.09490229189395905,0.002015430247411132
14,1,6,18,0.09929460287094116,0.002206783974543214
14,1,6,19,0.1036369800567627,0.002404527273029089
14,1,6,20,0.10795468837022781,0.0026095567736774683
14,1,6,21,0.11227641999721527,0.0028231360483914614
